Vendor ID,Product ID,Driver,Base layout,Laptop,Event count
2808,0220,ASCF1A00:00 2808:0220 Touchpad,proartp16,ProArt PX13 HN7306WV_HN7306WV,5
04F3,31AF,ASUE,proartp16,ProArt StudioBook H5600QM_H5600QM,3
04F3,32A0,ASUE,asusvivobook16x,Zenbook UX6404VI_UX6404VI,3
2808,0234,ASCF1A01:00 2808:0234 Touchpad,proartp16,ProArt P16 H7606WI_H7606WI,2
093A,3014,ASCP1A01:00 093A:3014 Touchpad,proartp16,ProArt P16 H7606WI_H7606WI,2
2808,0234,ASCF1A01:00 2808:0234 Touchpad,proartp16,ProArt P16 H7606WV_H7606WV,2
04F3,32A0,ASUE,asusvivobook16x,Zenbook UX6404VV_UX6404VV,2
04F3,32E2,ASCE1200:00 04F3:32E2 Touchpad,proartp16,ASUS TUF Gaming A16 FA608WI_FA608WI,1
093A,300B,ASUP,asusvivobook16x,ASUS Vivobook Pro 15 N6506MV_N6506MV,1
093A,300B,ASUP,proartp16,ASUS Vivobook Pro 15 N6506MV_N6506MV,1
093A,3014,ASCP1A01:00 093A:3014 Touchpad,proartp16,ProArt P16 H7606WV_H7606WV,1
04F3,31AF,ASUE,asusvivobook16x,ProArt StudioBook H5600QM_H5600QM,1
04F3,31AF,ASUE,proartp16,ProArt Studiobook H7600ZW_H7600ZW,1
04F3,3274,ASUE,proartp16,ProArt Studiobook W7604J3D_W7604J3D,1
04F3,3157,ASUE,asusvivobook16x,VivoBook_ASUSLaptop E410MAB_E410MA,1
04F3,31DE,ASUE,proartp16,Vivobook_ASUSLaptop M7400QE_M7400QE,1
04F3,30BF,ELAN,asusvivobook16x,ZenBook UX333FA_UX333FA,1